""," "," "," "," "," Outcome, Q3 v. Q1"," "," "," "," "," "," "," "
"1"," "," "," "," ","Unadjusted"," "," "," ","Fully adjusted"," "," "," "
"2"," ","Outcome","Q1 Mean","Q3 Mean","Predicted Outcome at Q1","Predicted Outcome at Q3","Coefficient (95% CI)","P-value","Predicted Outcome at Q1","Predicted Outcome at Q3","Coefficient (95% CI)","P-value"
"3","Change in telomere length between Year 1 and Year 2","LAZ Year 2","-0.22","0.25","-1.3","-1.32","-0.02 (-0.12, 0.09)","0.74","-1.92","-1.83","0.09 (-0.07, 0.25)","0.27"
"4","","WAZ Year 2","-0.22","0.25","-1.4","-1.46","-0.06 (-0.17, 0.05)","0.27","-1.84","-1.82","0.02 (-0.12, 0.16)","0.82"
"5","","WLZ Year 2","-0.22","0.25","-0.94","-1.01","-0.07 (-0.17, 0.04)","0.21","-1.19","-1.21","-0.03 (-0.09, 0.04)","0.44"
"6","","HCZ Year 2","-0.22","0.25","-1.77","-1.8","-0.04 (-0.14, 0.06)","0.47","-1.7","-1.75","-0.06 (-0.15, 0.03)","0.2"
"7","","Change in LAZ between Year 1 and Year 2","-0.22","0.25","-0.04","-0.05","0 (-0.05, 0.05)","0.89","-0.36","-0.38","-0.01 (-0.06, 0.03)","0.58"
"8","","Change in WAZ between Year 1 and Year 2","-0.22","0.25","-0.26","-0.27","-0.01 (-0.06, 0.04)","0.79","-0.55","-0.58","-0.03 (-0.08, 0.02)","0.27"
"9","","Change in WLZ between Year 1 and Year 2","-0.22","0.25","-0.26","-0.28","-0.01 (-0.08, 0.06)","0.74","-0.12","-0.14","-0.02 (-0.08, 0.05)","0.57"
"10","","Change in HCZ between Year 1 and Year 2","-0.23","0.25","-0.03","-0.06","-0.03 (-0.09, 0.02)","0.26","-0.21","-0.24","-0.03 (-0.09, 0.02)","0.28"
"11","","Length velocity between Year 1 and Year 2","-0.22","0.25","0.8","0.8","0 (-0.02, 0.01)","0.49","0.81","0.81","-0.01 (-0.02, 0.01)","0.32"
"12","","Weight velocity between Year 1 and Year 2","-0.22","0.25","0.15","0.15","0 (-0.01, 0)","0.39","0.16","0.15","0 (-0.01, 0)","0.17"
"13","","Head circumference velocity between Year 1 and Year 2","-0.22","0.25","0.14","0.14","0 (-0.01, 0)","0.37","0.13","0.13","0 (-0.01, 0)","0.4"
