"","name","Outcome","N","10th Percentile","90th Percentile","Outcome, 90th Percentile v. 10th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 10th Percentile","Predicted Outcome at 90th Percentile","Coefficient (95% CI)","P-value"
"3","Change in telomere length between Year 1 and Year 2","LAZ Year 2","523","-0.43","0.44","-1.47","-1.5","-0.03 (-0.13, 0.07)","0.62"
"4","","WAZ Year 2","541","-0.43","0.44","-1.72","-1.76","-0.03 (-0.13, 0.07)","0.53"
"5","","WLZ Year 2","545","-0.43","0.44","-0.98","-1.05","-0.07 (-0.18, 0.04)","0.24"
"6","","HCZ Year 2","543","-0.43","0.44","-1.83","-1.9","-0.08 (-0.24, 0.09)","0.36"
"7","","Change in LAZ between Year 1 and Year 2","545","-0.43","0.44","-0.26","-0.26","0.01 (-0.09, 0.1)","0.92"
"8","","Change in WAZ between Year 1 and Year 2","547","-0.43","0.44","-0.35","-0.35","0 (-0.1, 0.1)","0.98"
"9","","Change in WLZ between Year 1 and Year 2","543","-0.43","0.44","-0.25","-0.24","0.01 (-0.13, 0.14)","0.93"
"10","","Change in HCZ between Year 1 and Year 2","525","-0.43","0.44","-0.14","-0.19","-0.05 (-0.15, 0.06)","0.39"
"11","","Length velocity between Year 1 and Year 2","522","-0.43","0.44","0.82","0.8","-0.01 (-0.03, 0.01)","0.31"
"12","","Weight velocity between Year 1 and Year 2","522","-0.43","0.44","0.15","0.15","0 (-0.01, 0.01)","0.47"
"13","","Head circumference velocity between Year 1 and Year 2","525","-0.43","0.44","0.16","0.15","-0.01 (-0.02, 0.01)","0.38"
